Q,team,score
1,1,[]
2,1,['no positive']
3,1,[]
4,1,[]
5,1,"['key position', 'order']"
1,2,['no positive']
2,2,"['multi digit', 'prefix', 'suffix']"
3,2,['multiple least frequent']
4,2,"['break even', 'early sell', 'narrow range', 'no break-even']"
5,2,"['key position', 'order']"
1,3,[]
2,3,"['multi digit', 'prefix', 'suffix']"
3,3,['multiple least frequent']
4,3,[]
5,3,"['key position', 'order']"
1,4,"['no positive', 'repeated smallest']"
2,4,"['multi digit', 'prefix', 'suffix']"
3,4,['multiple least frequent']
4,4,"['break even', 'early sell', 'narrow range', 'no break-even']"
5,4,"['key position', 'order']"
1,5,"['empty list', 'no positive']"
2,5,"['no positive', 'suffix']"
3,5,['multiple least frequent']
4,5,[]
5,5,['key position']
1,6,"['empty list', 'no positive']"
2,6,"['multi digit', 'no positive', 'prefix', 'suffix']"
3,6,['multiple least frequent']
4,6,"['break even', 'early sell', 'narrow range', 'no break-even']"
5,6,"['key position', 'order']"
1,7,['no positive']
2,7,"['multi digit', 'no positive', 'prefix', 'suffix']"
3,7,['multiple least frequent']
4,7,"['break even', 'early sell', 'narrow range', 'no break-even']"
5,7,"['key position', 'order']"
1,8,"['no positive', 'repeated smallest']"
2,8,"['no positive', 'prefix', 'suffix']"
3,8,['multiple least frequent']
4,8,"['break even', 'early sell', 'narrow range', 'no break-even']"
5,8,['key position']
1,9,[]
2,9,"['multi digit', 'prefix', 'suffix']"
3,9,['multiple least frequent']
4,9,"['break even', 'early sell', 'narrow range', 'no break-even']"
5,9,"['key position', 'order']"
1,10,"['empty list', 'no positive', 'repeated smallest']"
2,10,"['multi digit', 'no positive', 'suffix']"
3,10,[]
4,10,[]
5,10,"['key position', 'order']"
1,11,['repeated smallest']
2,11,"['multi digit', 'no positive', 'prefix', 'suffix']"
3,11,['multiple least frequent']
4,11,"['break even', 'early sell', 'narrow range', 'no break-even']"
5,11,['order']
1,12,['no positive']
2,12,"['multi digit', 'no positive', 'prefix', 'suffix']"
3,12,['multiple least frequent']
4,12,"['break even', 'early sell', 'narrow range', 'no break-even']"
5,12,"['key position', 'order']"
1,13,['repeated smallest']
2,13,"['multi digit', 'prefix', 'suffix']"
3,13,['multiple least frequent']
4,13,"['break even', 'early sell', 'narrow range']"
5,13,"['key position', 'order']"
1,14,[]
2,14,"['multi digit', 'no positive']"
3,14,[]
4,14,[]
5,14,"['key position', 'order']"
1,15,['repeated smallest']
2,15,"['prefix', 'suffix']"
3,15,[]
4,15,[]
5,15,"['key position', 'order']"
1,16,[]
2,16,"['multi digit', 'prefix', 'suffix']"
3,16,['multiple least frequent']
4,16,[]
5,16,"['key position', 'order']"
1,17,[]
2,17,"['multi digit', 'prefix', 'suffix']"
3,17,['multiple least frequent']
4,17,['narrow range']
5,17,[]
1,18,[]
2,18,[]
3,18,['multiple least frequent']
4,18,[]
5,18,"['key position', 'order']"
1,19,"['empty list', 'no positive']"
2,19,"['multi digit', 'no positive', 'prefix', 'suffix']"
3,19,['multiple least frequent']
4,19,['early sell']
5,19,"['key position', 'order']"
1,20,"['no positive', 'repeated smallest']"
2,20,"['multi digit', 'prefix', 'suffix']"
3,20,['multiple least frequent']
4,20,"['break even', 'early sell', 'no break-even']"
5,20,"['key position', 'order']"
1,21,['repeated smallest']
2,21,"['multi digit', 'prefix', 'suffix']"
3,21,['multiple least frequent']
4,21,['narrow range']
5,21,['key position']
1,22,['repeated smallest']
2,22,['prefix']
3,22,['multiple least frequent']
4,22,[]
5,22,[]
1,23,['no positive']
2,23,['multi digit']
3,23,[]
4,23,[]
5,23,['key position']
1,24,['empty list']
2,24,['no positive']
3,24,['multiple least frequent']
4,24,[]
5,24,"['key position', 'order']"
1,25,"['no positive', 'repeated smallest']"
2,25,"['multi digit', 'no positive', 'prefix', 'suffix']"
3,25,['multiple least frequent']
4,25,"['break even', 'early sell', 'narrow range', 'no break-even']"
5,25,"['key position', 'order']"
1,26,"['no positive', 'repeated smallest']"
2,26,"['multi digit', 'no positive', 'prefix', 'suffix']"
3,26,['multiple least frequent']
4,26,"['break even', 'early sell', 'narrow range']"
5,26,['key position']
1,Solution,"['empty list', 'no positive', 'repeated smallest']"
2,Solution,"['multi digit', 'no positive', 'prefix', 'suffix']"
3,Solution,['multiple least frequent']
4,Solution,"['break even', 'early sell', 'narrow range', 'no break-even']"
5,Solution,"['key position', 'nan key', 'order']"
